标题,小区,区域,售价,单价,户型,面积,朝向,装修,楼层,年份,建筑类型,详情页
省图书馆 单位房 无分摊 独立院子 花园小区 3条地铁,湖南图书馆 ,火车站,53,8541,3室2厅,62.06,南,简装,中楼层(共5层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113594144.html
地铁口 2000年建  精装修两房  户型周正 框架结构,人民新村社区 ,火车站,60,6769,2室2厅,88.65,东南,精装,5层 ,,板楼,https://cs.lianjia.com/ershoufang/104113690184.html
六号线地铁 南北向自住装修 人车分开随时看房,星城福邸 ,汽车东站,86.8,7820,3室2厅,111.01,南 北,精装,低楼层(共21层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104111555018.html
房子视野好  中楼层   精装舒适三房  拎包入住,恒大江湾 ,汽车东站,118,9244,3室2厅,127.66,南,精装,中楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113062286.html
万科品质、地铁5号线旁、精装三房、采光好、拎包入住,万科金域蓝湾 ,晚报,98,10841,3室2厅,90.4,南,精装,高楼层(共33层),2008年,板塔结合,https://cs.lianjia.com/ershoufang/104111934921.html
马王堆 火车站 三湘 火星边星典时代小三房急售,星典时代 ,晚报,73.8,8114,3室1厅,90.96,南 北,其他,中楼层(共26层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113367900.html
万家丽双地铁口精装二房二厅 业主很诚心卖价格好谈,东玺门 ,马王堆,78.8,8988,2室2厅,87.68,东,精装,34层,2009年,板塔结合,https://cs.lianjia.com/ershoufang/104113727669.html
一线浏阳河建发中式园林风大四房,金茂建发观悦 ,汽车东站,220,15442,4室2厅,142.47,南,精装,低楼层(共26层),2019年,板塔结合,https://cs.lianjia.com/ershoufang/104112067107.html
诚心出售双地铁口楼下就是Shu包楼层好价格面议,凯通国际城 ,火车站,70,8966,3室2厅,78.08,南,简装,中楼层(共32层),2013年,板楼,https://cs.lianjia.com/ershoufang/104113359316.html
凯通院子里+3.6号正地铁+精装修+拎包入住,凯通国际城 ,火车站,68,10467,2室2厅,64.97,南,其他,高楼层(共31层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104112265447.html
万家丽双地铁  纯毛坯两房 客厅朝南带阳台 满五唯一,东玺门 ,马王堆,80,8531,2室2厅,93.78,东南 南,其他,32层,2009年,板塔结合,https://cs.lianjia.com/ershoufang/104112485962.html
价格好楼层好 采光好  配套成熟 业主诚心出售,马王堆社区火星7片 ,马王堆,40,4947,2室2厅,80.87,南,简装,高楼层(共7层),1996年,板楼,https://cs.lianjia.com/ershoufang/104113477853.html
爵世名邸东湖壹号 6号线正地铁口 房东诚心出售,爵世名邸东湖 ,汽车东站,61.8,7154,2室2厅,86.39,南,毛坯,低楼层(共34层),2017年,板楼,https://cs.lianjia.com/ershoufang/104110280891.html
环保涂料城 马王堆万家丽火星火车站商圈 5/2号线地铁,湖南环保涂料城 ,马王堆,39.9,5525,2室1厅,72.22,南,简装,低楼层(共9层),2006年,板楼,https://cs.lianjia.com/ershoufang/104112999322.html
此房诚心出售，采光好，视野无遮挡.,恒大江湾 ,汽车东站,101,9682,3室2厅,104.32,南,精装,高楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104110261328.html
电信单位房 天园假日 纯板楼  大4房  纯毛坯,天园假日 ,汽车东站,168,7342,4室2厅,228.85,南,毛坯,低楼层(共14层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104103454914.html
东岸锦城 精装两房 采光好 配套齐全,东岸锦城C区 ,汽车东站,49.8,6739,2室2厅,73.9,南,精装,低楼层(共6层),2008年,板楼,https://cs.lianjia.com/ershoufang/104113371997.html
万家丽双地铁 独立入户门厅 带露台好赞房,东玺门 ,马王堆,109,8909,4室1厅,122.36,北,精装,31层,2009年,板塔结合,https://cs.lianjia.com/ershoufang/104113328152.html
五一大道袁家岭双地铁口 花园小区家电齐全拎包可住,湘域中央 ,火车站,120,14343,2室1厅,83.67,南 北,精装,低楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112944739.html
中建嘉和城 3室2厅 南 北,中建嘉和城 ,万家丽南路,112,9489,3室2厅,118.04,南 北,毛坯,高楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111679355.html
鑫天格林香山 电梯小三房 清水毛坯 满五唯一 减免个税,鑫天格林香山 ,暮云,45.8,5117,3室2厅,89.52,南,其他,中楼层(共17层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104112007050.html
汽车南校园旁新小区，配套完善三房两卫无遮挡，随时看,西湖鸿运佳苑 ,德思勤,85,7985,3室2厅,106.45,南,毛坯,中楼层(共23层),2020年,板塔结合,https://cs.lianjia.com/ershoufang/104112227239.html
天麓5期精装五房，点石装修拎包入住，满五唯一视野好,天麓尚层 ,雷锋大道,128,8971,5室2厅,142.69,东南,精装,中楼层(共34层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104112344175.html
满五唯一楼栋位置好次新小区浏阳河园林,阳光城尚东湾青云苑 ,武广新城,125,10062,3室2厅,124.24,南 北,毛坯,中楼层(共28层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104112963080.html
次新小区，大两房，户型端正，无遮挡，出行方便,德茂公寓 ,韶山南路,77,8432,2室2厅,91.32,南,精装,中楼层(共33层),2015年,塔楼,https://cs.lianjia.com/ershoufang/104110304833.html
洋湖地铁口精装小三房家电齐全拎包入住,洋湖公馆二期 ,洋湖垸,98,12516,3室2厅,78.3,东南,精装,高楼层(共33层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113676477.html
满五唯一，贺龙体育广场，配套齐全，交通方便,建设医院宿舍 ,东塘,49,6987,2室2厅,70.14,南,简装,中楼层(共7层) ,,板楼,https://cs.lianjia.com/ershoufang/104113127506.html
此房满五唯一，楼层视野好，依山傍水阳台视野无遮挡。,天元涉外景园 ,枫林三路,95,10246,3室1厅,92.72,北,其他,中楼层(共32层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104112328995.html
中南三村3楼三房一卫。  采光充足。满五不唯一,中南三村 ,望城区,30.8,3878,3室1厅,79.43,南 北,简装,中楼层(共6层),2017年,板楼,https://cs.lianjia.com/ershoufang/104113367702.html
小区中间6栋的毛坯房，一路之隔就是上学，视野无遮挡,黎郡新宇熙春园 ,武广新城,55,6781,2室2厅,81.12,南,其他,中楼层(共26层) ,,板楼,https://cs.lianjia.com/ershoufang/104113025307.html
融科品质楼盘，砂子塘陪读好房，自住精装修,融科三万英尺 ,雨花亭,54,10086,1室1厅,53.54,南,其他,中楼层(共33层),2006年,塔楼,https://cs.lianjia.com/ershoufang/104113288513.html
双地铁口物业，正规一室，诚心出售，随时看房,西子一间 ,高桥,36.8,6483,1室2厅,56.77,南,其他,28层,2011年,塔楼,https://cs.lianjia.com/ershoufang/104113449932.html
两梯两户板楼  自住装修 小区中间位置 可随时看房,英郡年华 ,树木岭,122,9981,3室2厅,122.24,南,精装,高楼层(共17层),2012年,板楼,https://cs.lianjia.com/ershoufang/104108539848.html
户型周正 好楼层 精装修 视野开阔 拎包入住,鑫利家园 ,月湖,65.8,8114,2室1厅,81.1,南,精装,中楼层(共34层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113188681.html
此房户型周正采光好，岳麓实小、西雅长梅旁,万科城市花园 ,梅溪湖北岸,78,10281,2室2厅,75.87,南,精装,中楼层(共24层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111248677.html
此房楼层好，视野开阔，采光充足，配套成熟，交通便利,恒大御景半岛锦绣苑 ,湘江世纪城,110,11135,3室2厅,98.79,南,其他,低楼层(共39层) ,,塔楼,https://cs.lianjia.com/ershoufang/104111756829.html
三房中上楼层光照好长塘里崇德雨花新华,阳光城尚东湾蓝莓苑 ,武广新城,121,11009,3室2厅,109.92,南,其他,中楼层(共31层),2020年,塔楼,https://cs.lianjia.com/ershoufang/104113256831.html
天元涉外景园 三房两卫户型 业主诚心出售 不沿街,天元涉外景园 ,枫林三路,99.8,11225,3室2厅,88.91,南,精装,中楼层(共33层),2013年,塔楼,https://cs.lianjia.com/ershoufang/104112761953.html
梅溪湖弘德好莱城三房，精装，好楼层，读书近,弘德西街好莱城 ,梅溪湖北岸,99,11040,3室2厅,89.68,南,精装,中楼层(共33层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104113657881.html
建发中央公园二期  毛坯3房出售,建发中央公园 ,雨花亭,143,14520,3室2厅,98.49,南,毛坯,低楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104109876370.html
2018年次新小区，价格美丽。,恒大雅苑 ,广电,63,9202,2室2厅,68.47,南,精装,低楼层(共33层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104113524941.html
地铁口，70年产权公寓民用水电，带枫树山,融科檀香山 ,武广新城,38,7479,1室1厅,50.81,南,精装,高楼层(共33层),2011年,塔楼,https://cs.lianjia.com/ershoufang/104113559112.html
怡海星城三期 中上楼层 房东诚心出,怡海星城 ,暮云,78.8,6518,3室2厅,120.91,南,毛坯,中楼层(共21层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104112936267.html
湘江新区，吾悦广场，长沙市一中自住装修三房,新城国际花都 ,望城区,60,6542,3室2厅,91.72,南,精装,低楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111415162.html
堤亚纳湾洋房区，1梯2户，户型好，采光好，总价低,堤亚纳湾洋房区 ,金霞,123,8863,4室2厅,138.78,南 北,毛坯,低楼层(共6层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104109985675.html
满五唯一中间楼层大两房，朝南户型清水毛坯，随意改造,钱隆世家 ,金霞,65,8195,2室2厅,79.32,南,毛坯,中楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104112617470.html
茶子山  周正两房  配套成熟 出行方便,德润园 ,观沙岭,58,7390,2室2厅,78.49,南 北,简装,中楼层(共7层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113261492.html
长郡配套 蓝山郡 清水毛坯三房 中间楼层  满五唯一,蓝山郡 ,开元路,66.8,7770,3室2厅,85.98,南,毛坯,高楼层(共33层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113586782.html
校园庞德小区，单位房，地铁口，随时看房,西湖鸿运佳苑 ,德思勤,79,7718,3室2厅,102.36,南 北,毛坯,低楼层(共29层),2020年,板塔结合,https://cs.lianjia.com/ershoufang/104112640995.html
满五唯一靠小区里不靠马路业主诚心卖，户型周正。,创元时代 ,喜盈门,135,10495,4室2厅,128.64,南,毛坯,高楼层(共33层) ,,板楼,https://cs.lianjia.com/ershoufang/104113559105.html
旭辉国际广场 三房两厅两卫 高楼层采光视野好 宜居,旭辉国际广场 ,武广新城,115,11730,3室2厅,98.04,南,简装,高楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112018249.html
地铁口，楼层好，正规两房，主卧朝南，视野开阔，,景江雅苑 ,武广新城,70,7752,2室2厅,90.31,南,精装,高楼层(共22层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104110398429.html
高铁南站 次新小区9千多单价 全新毛坯房 诚心售,绿地之窗 ,武广新城,98,9144,3室2厅,107.18,南 北,毛坯,中楼层(共30层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112918128.html
沙湾公园 高铁南站 山姆会员商场 中间位置 中间楼层,半山壹号 ,武广新城,145,12363,3室2厅,117.29,南,精装,中楼层(共34层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104113364134.html
校园庞德小区，单位房，地铁口，随时看房,西湖鸿运佳苑 ,德思勤,79,7718,3室2厅,102.36,南 北,毛坯,低楼层(共29层),2020年,板塔结合,https://cs.lianjia.com/ershoufang/104112640995.html
阳光城精装修  满五年唯一 直接拎包入住,阳光城尚东湾青云苑 ,武广新城,122,11379,3室2厅,107.22,南,精装,低楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112637181.html
圭塘河景品质大平层，双地铁，不临街，视野采光好,清溪川玖号二期 ,喜盈门,318,16916,4室2厅,187.99,南 北,毛坯,中楼层(共32层) ,,板楼,https://cs.lianjia.com/ershoufang/104113094280.html
小区绿化覆盖高，采光充足交通便利,翡翠云天 ,万家丽南路,60,6788,2室2厅,88.4,南 北,简装,中楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111902854.html
高桥板块地铁口大三房，通透性好，通风好，小区环境好,锦湘国际星城一期 ,尚东,112,8753,3室2厅,127.96,南 北,精装,中楼层(共12层),2005年,板楼,https://cs.lianjia.com/ershoufang/104113165749.html
次新小区地铁口舒适三房，诚心出售,世茂璀璨天城 ,树木岭,150,11812,3室2厅,127,南,其他,低楼层(共26层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113375159.html
次新小区，满五唯一，毛坯出售，人车分流，交通便利,合能枫丹丽舍 ,万家丽南路,97,9711,3室1厅,99.89,南,毛坯,高楼层(共34层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104111746677.html
次新小区 精装修 满五不唯一 中间楼层 拎包入住,恒大国际广场 ,武广新城,137,11978,3室2厅,114.38,南,精装,高楼层(共31层),2019年,板塔结合,https://cs.lianjia.com/ershoufang/104112293088.html
满五唯一 交易快，高层 采光好，业主诚心出售,绿地新都会 ,德思勤,48,6269,2室2厅,76.57,南,毛坯,高楼层(共34层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113601435.html
青云苑精装三房，满五唯一，带双包包,阳光城尚东湾青云苑 ,武广新城,98.8,10817,3室2厅,91.34,南,精装,低楼层(共33层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104113356642.html
左家塘十字路口单位电梯两房分摊小急售,国立小区 ,窑岭,50.5,6882,2室2厅,73.38,东北,简装,中楼层(共22层),1995年,板塔结合,https://cs.lianjia.com/ershoufang/104109726221.html
二期小高层，南北通透，精装80万+，带两个独立车位。,第六都 ,雨花亭,330,19101,5室2厅,172.77,南 北,精装,低楼层(共32层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104112673380.html
旭辉品质 次新小区 正规两房 满五唯一不靠马路,旭辉香樟公馆 ,树木岭,73,9522,2室2厅,76.67,南,简装,高楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104111417592.html
圭塘河边，德思勤，五矿品质和一级物业,五矿万境水岸一期 ,喜盈门,95.8,12359,2室1厅,77.52,南,精装,中楼层(共34层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104112635339.html
此房满五唯一。户型好视野宽阔采光充足交通便利,丰升德润 ,喜盈门,169,10868,4室2厅,155.51,南 北,毛坯,高楼层(共25层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104112926899.html
地铁口精装居家两房 满五唯一 价格可以谈 好楼层,华银天际二期B区 ,万家丽南路,72,8924,2室2厅,80.69,南,精装,中楼层(共17层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112930538.html
溪悦荟、圭塘河畔，万科品质三房，房东诚售！,万科金域华府 ,武广新城,97.5,11016,3室2厅,88.51,南,其他,高楼层(共32层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104113639176.html
6号线正地铁口 双水湾宜居小区 精装拎包入住 诚心出售,江河双水湾  ,武广新城,119.8,11160,3室2厅,107.35,南 北,精装,高楼层(共33层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104113596780.html
树木岭板块次新小区周正三房配套完善不用等发展,世茂璀璨天城 ,树木岭,130,12411,3室2厅,104.75,南,毛坯,高楼层(共25层),2021年,板塔结合,https://cs.lianjia.com/ershoufang/104112510508.html
满五唯一，一室一厅价格合适就甩...,城市山水豪园 ,武广新城,48.1,8887,1室1厅,54.13,南,精装,高楼层(共15层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104113401932.html
满五唯一！长塘里阳光、新华都peitao！业主诚意出售,阳光城尚东湾（学园区） ,武广新城,73.99,9016,2室1厅,82.07,南,精装,低楼层(共31层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113500219.html
此房满五唯一 格局 楼层好 视野开阔 采光,佳园星城 ,井湾子,47.5,4715,3室2厅,100.75,南,简装,中楼层(共7层),2005年,板楼,https://cs.lianjia.com/ershoufang/104106447451.html
